aoi,fold,image_id
dar,1,dar_b15fce_00070.tif
znz,2,znz_aee7fd_07273.tif
znz,3,znz_06f252_06616.tif
acc,4,acc_665946_04752.tif
znz,0,znz_e52478_13568.tif
dar,1,dar_f883a0_02964.tif
dar,2,dar_42f235_02048.tif
znz,3,znz_425403_13763.tif
dar,4,dar_0a4c40_04349.tif
znz,0,znz_9b8638_15048.tif
znz,1,znz_425403_14136.tif
dar,2,dar_42f235_02094.tif
znz,3,znz_aee7fd_07050.tif
znz,4,znz_c7415c_12505.tif
znz,0,znz_75cdfa_08396.tif
acc,1,acc_ca041a_05031.tif
dar,2,dar_353093_00854.tif
dar,3,dar_f883a0_02714.tif
znz,4,znz_75cdfa_08482.tif
znz,0,znz_c7415c_12556.tif
znz,1,znz_bc32f1_08887.tif
acc,2,acc_a42435_04536.tif
znz,3,znz_3f8360_12901.tif
znz,4,znz_33cae6_10148.tif
znz,0,znz_06f252_06433.tif
znz,1,znz_3b20d4_11005.tif
znz,2,znz_aee7fd_07489.tif
dar,3,dar_0a4c40_03854.tif
dar,4,dar_0a4c40_04205.tif
dar,0,dar_f883a0_03449.tif
znz,1,znz_75cdfa_08427.tif
znz,2,znz_bc32f1_09077.tif
znz,3,znz_3b20d4_11206.tif
dar,4,dar_f883a0_03349.tif
znz,0,znz_e52478_13278.tif
znz,1,znz_9b8638_14721.tif
znz,2,znz_425403_13880.tif
dar,3,dar_42f235_01537.tif
znz,4,znz_425403_13639.tif
acc,0,acc_ca041a_04912.tif
znz,1,znz_9b8638_14604.tif
znz,2,znz_bd5c14_15702.tif
znz,3,znz_75cdfa_07923.tif
acc,4,acc_665946_04647.tif
znz,0,znz_75cdfa_08602.tif
znz,1,znz_06f252_06455.tif
znz,2,znz_3b20d4_10898.tif
znz,3,znz_9b8638_15099.tif
znz,4,znz_bc32f1_09412.tif
znz,0,znz_06f252_06879.tif
znz,1,znz_bc32f1_08715.tif
dar,2,dar_0a4c40_03668.tif
znz,3,znz_aee7fd_07203.tif
znz,4,znz_9b8638_14617.tif
dar,0,dar_42f235_02191.tif
dar,1,dar_0a4c40_03944.tif
dar,2,dar_f883a0_03202.tif
nia,3,nia_825a50_04427.tif
dar,4,dar_353093_01062.tif
dar,0,dar_b15fce_00310.tif
mon,1,mon_f15272_05844.tif
dar,2,dar_0a4c40_04126.tif
znz,3,znz_aee7fd_07779.tif
dar,4,dar_42f235_01363.tif
znz,0,znz_3b20d4_11087.tif
dar,1,dar_f883a0_02949.tif
znz,2,znz_9b8638_14813.tif
znz,3,znz_425403_14012.tif
znz,4,znz_aee7fd_07065.tif
znz,0,znz_076995_11277.tif
mon,1,mon_401175_05886.tif
mon,2,mon_401175_05891.tif
znz,3,znz_bc32f1_09271.tif
znz,4,znz_3b20d4_10337.tif
znz,0,znz_aee7fd_07497.tif
ptn,1,ptn_f49f31_05429.tif
mon,2,mon_493701_05635.tif
znz,3,znz_425403_13728.tif
znz,4,znz_3f8360_13152.tif
znz,0,znz_9b8638_14965.tif
znz,1,znz_bd5c14_16031.tif
znz,2,znz_06f252_06235.tif
znz,3,znz_9b8638_14591.tif
mon,4,mon_401175_05882.tif
znz,0,znz_076995_11283.tif
znz,1,znz_c7415c_12017.tif
znz,2,znz_bc32f1_09357.tif
znz,3,znz_bc32f1_09414.tif
znz,4,znz_076995_11285.tif
znz,0,znz_425403_14503.tif
znz,1,znz_bc32f1_08908.tif
dar,2,dar_42f235_01804.tif
znz,3,znz_33cae6_09838.tif
znz,4,znz_9b8638_14935.tif
dar,0,dar_a017f9_00727.tif
dar,1,dar_0a4c40_04081.tif
znz,2,znz_75cdfa_08473.tif
dar,3,dar_f883a0_03135.tif
dar,4,dar_0a4c40_03606.tif
znz,0,znz_aee7fd_07411.tif
znz,1,znz_33cae6_09646.tif
znz,2,znz_3f8360_12634.tif
znz,3,znz_425403_13792.tif
acc,4,acc_ca041a_05154.tif
znz,0,znz_06f252_06835.tif
mon,1,mon_207cc7_05776.tif
dar,2,dar_42f235_01137.tif
znz,3,znz_c7415c_12122.tif
znz,4,znz_425403_13957.tif
dar,0,dar_0a4c40_03959.tif
znz,1,znz_aee7fd_07026.tif
znz,2,znz_75cdfa_08158.tif
dar,3,dar_f883a0_02605.tif
mon,4,mon_f15272_05811.tif
znz,0,znz_3b20d4_11031.tif
znz,1,znz_3f8360_12694.tif
znz,2,znz_aee7fd_07108.tif
znz,3,znz_bd5c14_16086.tif
znz,4,znz_75cdfa_08654.tif
acc,0,acc_a42435_04505.tif
znz,1,znz_bc32f1_08928.tif
znz,2,znz_c7415c_12013.tif
acc,3,acc_d41d81_05234.tif
znz,4,znz_3f8360_12760.tif
znz,0,znz_75cdfa_08060.tif
dar,1,dar_b15fce_00067.tif
mon,2,mon_207cc7_05728.tif
dar,3,dar_f883a0_02924.tif
znz,4,znz_75cdfa_08349.tif
znz,0,znz_06f252_06612.tif
dar,1,dar_42f235_02344.tif
znz,2,znz_076995_11885.tif
znz,3,znz_bd5c14_15722.tif
znz,4,znz_425403_14506.tif
znz,0,znz_06f252_06223.tif
znz,1,znz_75cdfa_08400.tif
znz,2,znz_3f8360_13114.tif
znz,3,znz_33cae6_10037.tif
znz,4,znz_bc32f1_09287.tif
znz,0,znz_3b20d4_11103.tif
znz,1,znz_3f8360_12844.tif
znz,2,znz_33cae6_09862.tif
znz,3,znz_425403_14100.tif
dar,4,dar_42f235_01978.tif
znz,0,znz_75cdfa_08023.tif
dar,1,dar_f883a0_03300.tif
znz,2,znz_425403_14300.tif
dar,3,dar_0a4c40_03991.tif
znz,4,znz_75cdfa_08660.tif
znz,0,znz_06f252_06709.tif
acc,1,acc_a42435_04523.tif
nia,2,nia_825a50_04392.tif
znz,3,znz_e52478_13537.tif
dar,4,dar_0a4c40_03772.tif
dar,0,dar_0a4c40_04040.tif
dar,1,dar_0a4c40_03877.tif
dar,2,dar_0a4c40_04228.tif
acc,3,acc_a42435_04580.tif
dar,4,dar_42f235_01736.tif
znz,0,znz_3b20d4_10499.tif
znz,1,znz_bc32f1_09174.tif
znz,2,znz_06f252_06252.tif
znz,3,znz_aee7fd_07224.tif
znz,4,znz_c7415c_12309.tif
dar,0,dar_42f235_01992.tif
dar,1,dar_b15fce_00359.tif
dar,2,dar_42f235_01440.tif
acc,3,acc_d41d81_05252.tif
znz,4,znz_bd5c14_15580.tif
znz,0,znz_bd5c14_15220.tif
znz,1,znz_33cae6_09996.tif
dar,2,dar_42f235_01687.tif
dar,3,dar_0a4c40_04027.tif
znz,4,znz_aee7fd_07312.tif
znz,0,znz_425403_14367.tif
znz,1,znz_3b20d4_10327.tif
dar,2,dar_f883a0_03429.tif
znz,3,znz_c7415c_12214.tif
znz,4,znz_076995_11942.tif
znz,0,znz_aee7fd_06943.tif
znz,1,znz_75cdfa_08308.tif
dar,2,dar_0a4c40_03999.tif
dar,3,dar_f883a0_03361.tif
znz,4,znz_3b20d4_10887.tif
dar,0,dar_353093_00955.tif
znz,1,znz_75cdfa_08289.tif
znz,2,znz_33cae6_10049.tif
znz,3,znz_c7415c_12487.tif
acc,4,acc_a42435_04501.tif
znz,0,znz_3b20d4_11056.tif
znz,1,znz_3b20d4_11082.tif
znz,2,znz_9b8638_14565.tif
znz,3,znz_9b8638_14569.tif
mon,4,mon_f15272_05822.tif
dar,0,dar_a017f9_00494.tif
mon,1,mon_401175_05974.tif
kam,2,kam_4e7c7f_16182.tif
znz,3,znz_33cae6_09634.tif
znz,4,znz_3b20d4_10639.tif
dar,0,dar_f883a0_02650.tif
znz,1,znz_bc32f1_09315.tif
znz,2,znz_bc32f1_08849.tif
znz,3,znz_bd5c14_15643.tif
dar,4,dar_0a4c40_03764.tif
znz,0,znz_425403_14451.tif
znz,1,znz_3b20d4_10748.tif
znz,2,znz_c7415c_12339.tif
dar,3,dar_42f235_01333.tif
znz,4,znz_33cae6_09678.tif
nia,0,nia_825a50_04415.tif
znz,1,znz_076995_11570.tif
znz,2,znz_076995_11525.tif
znz,3,znz_3b20d4_10549.tif
znz,4,znz_bd5c14_16045.tif
znz,0,znz_75cdfa_08277.tif
dar,1,dar_353093_01040.tif
dar,2,dar_f883a0_02448.tif
znz,3,znz_076995_11704.tif
dar,4,dar_f883a0_02376.tif
dar,0,dar_353093_00960.tif
dar,1,dar_0a4c40_03928.tif
dar,2,dar_42f235_02227.tif
znz,3,znz_75cdfa_08040.tif
znz,4,znz_bd5c14_16075.tif
znz,0,znz_bd5c14_15856.tif
dar,1,dar_0a4c40_03789.tif
znz,2,znz_425403_13727.tif
znz,3,znz_75cdfa_07810.tif
znz,4,znz_3f8360_12612.tif
dar,0,dar_f883a0_03191.tif
znz,1,znz_bc32f1_09279.tif
znz,2,znz_425403_14297.tif
dar,3,dar_42f235_01254.tif
znz,4,znz_75cdfa_08426.tif
znz,0,znz_3f8360_12991.tif
dar,1,dar_0a4c40_04190.tif
znz,2,znz_75cdfa_07996.tif
dar,3,dar_0a4c40_03697.tif
dar,4,dar_0a4c40_04004.tif
znz,0,znz_076995_11630.tif
znz,1,znz_bc32f1_08717.tif
dar,2,dar_42f235_02101.tif
znz,3,znz_3b20d4_10421.tif
mon,4,mon_401175_05983.tif
znz,0,znz_bd5c14_15523.tif
acc,1,acc_665946_04856.tif
znz,2,znz_3f8360_13127.tif
dar,3,dar_b15fce_00355.tif
znz,4,znz_aee7fd_07765.tif
znz,0,znz_425403_14479.tif
dar,1,dar_0a4c40_03686.tif
dar,2,dar_f883a0_03116.tif
znz,3,znz_bd5c14_15905.tif
znz,4,znz_aee7fd_07661.tif
znz,0,znz_3f8360_12928.tif
znz,1,znz_bd5c14_15783.tif
znz,2,znz_425403_13737.tif
dar,3,dar_f883a0_02458.tif
znz,4,znz_06f252_06807.tif
acc,0,acc_a42435_04544.tif
znz,1,znz_aee7fd_07555.tif
dar,2,dar_f883a0_02593.tif
acc,3,acc_a42435_04620.tif
znz,4,znz_c7415c_12529.tif
znz,0,znz_076995_11651.tif
znz,1,znz_425403_14044.tif
znz,2,znz_425403_14498.tif
dar,3,dar_353093_01038.tif
dar,4,dar_f883a0_02877.tif
mon,0,mon_401175_05884.tif
znz,1,znz_9b8638_15072.tif
dar,2,dar_42f235_01406.tif
znz,3,znz_c7415c_12194.tif
znz,4,znz_bc32f1_09499.tif
znz,0,znz_bd5c14_15319.tif
dar,1,dar_0a4c40_04373.tif
znz,2,znz_9b8638_14928.tif
znz,3,znz_aee7fd_07596.tif
znz,4,znz_75cdfa_08327.tif
znz,0,znz_3f8360_12801.tif
znz,1,znz_bd5c14_15948.tif
znz,2,znz_e52478_13583.tif
znz,3,znz_06f252_06874.tif
znz,4,znz_75cdfa_07907.tif
znz,0,znz_c7415c_11966.tif
znz,1,znz_bd5c14_15238.tif
znz,2,znz_3b20d4_11091.tif
znz,3,znz_3b20d4_10492.tif
dar,4,dar_42f235_01296.tif
dar,0,dar_f883a0_03029.tif
znz,1,znz_3f8360_12661.tif
ptn,2,ptn_abe1a3_05620.tif
znz,3,znz_9b8638_14622.tif
znz,4,znz_e52478_13363.tif
znz,0,znz_bc32f1_09364.tif
dar,1,dar_a017f9_00447.tif
znz,2,znz_076995_11528.tif
acc,3,acc_ca041a_04964.tif
dar,4,dar_f883a0_02676.tif
znz,0,znz_06f252_06344.tif
dar,1,dar_42f235_01111.tif
dar,2,dar_f883a0_02407.tif
znz,3,znz_3b20d4_10646.tif
znz,4,znz_3f8360_13130.tif
znz,0,znz_75cdfa_08028.tif
dar,1,dar_42f235_01665.tif
znz,2,znz_33cae6_09725.tif
znz,3,znz_aee7fd_07773.tif
znz,4,znz_3f8360_12851.tif
znz,0,znz_3b20d4_11168.tif
dar,1,dar_353093_00752.tif
znz,2,znz_06f252_06687.tif
znz,3,znz_425403_13964.tif
znz,4,znz_75cdfa_07965.tif
dar,0,dar_0a4c40_04251.tif
znz,1,znz_c7415c_12342.tif
znz,2,znz_06f252_06557.tif
dar,3,dar_0a4c40_04006.tif
znz,4,znz_9b8638_14902.tif
znz,0,znz_3b20d4_11193.tif
ptn,1,ptn_abe1a3_05583.tif
acc,2,acc_a42435_04582.tif
znz,3,znz_c7415c_12221.tif
znz,4,znz_c7415c_12251.tif
znz,0,znz_33cae6_09903.tif
dar,1,dar_42f235_01123.tif
acc,2,acc_a42435_04604.tif
dar,3,dar_a017f9_00603.tif
mon,4,mon_493701_05680.tif
znz,0,znz_75cdfa_07977.tif
dar,1,dar_f883a0_02361.tif
acc,2,acc_665946_04705.tif
znz,3,znz_076995_11803.tif
dar,4,dar_0a4c40_03613.tif
znz,0,znz_9b8638_14663.tif
znz,1,znz_076995_11438.tif
znz,2,znz_3f8360_13112.tif
dar,3,dar_42f235_01820.tif
dar,4,dar_42f235_01760.tif
znz,0,znz_bc32f1_08764.tif
dar,1,dar_a017f9_00722.tif
dar,2,dar_a017f9_00500.tif
znz,3,znz_3b20d4_10737.tif
znz,4,znz_425403_14329.tif
znz,0,znz_75cdfa_08608.tif
znz,1,znz_aee7fd_07103.tif
znz,2,znz_06f252_06244.tif
znz,3,znz_3f8360_12869.tif
znz,4,znz_33cae6_10229.tif
znz,0,znz_75cdfa_08491.tif
znz,1,znz_aee7fd_07354.tif
znz,2,znz_3f8360_12673.tif
znz,3,znz_c7415c_11978.tif
nia,4,nia_825a50_04410.tif
znz,0,znz_076995_11246.tif
znz,1,znz_425403_14203.tif
znz,2,znz_33cae6_10116.tif
dar,3,dar_b15fce_00269.tif
dar,4,dar_0a4c40_03751.tif
znz,0,znz_bc32f1_09267.tif
znz,1,znz_aee7fd_07101.tif
mon,2,mon_401175_05916.tif
znz,3,znz_bd5c14_15212.tif
dar,4,dar_0a4c40_03568.tif
znz,0,znz_3f8360_12960.tif
znz,1,znz_425403_14365.tif
dar,2,dar_f883a0_02868.tif
znz,3,znz_425403_14240.tif
znz,4,znz_3b20d4_10582.tif
znz,0,znz_aee7fd_07074.tif
znz,1,znz_bc32f1_09188.tif
znz,2,znz_3f8360_12783.tif
znz,3,znz_aee7fd_07060.tif
dar,4,dar_42f235_02294.tif
znz,0,znz_bd5c14_16037.tif
dar,1,dar_0a4c40_03861.tif
znz,2,znz_c7415c_12405.tif
nia,3,nia_825a50_04411.tif
acc,4,acc_d41d81_05397.tif
znz,0,znz_3b20d4_10848.tif
znz,1,znz_9b8638_15091.tif
znz,2,znz_e52478_13547.tif
dar,3,dar_0a4c40_03744.tif
znz,4,znz_bc32f1_09467.tif
znz,0,znz_75cdfa_08593.tif
dar,1,dar_42f235_01531.tif
znz,2,znz_06f252_06474.tif
znz,3,znz_3b20d4_11008.tif
acc,4,acc_a42435_04612.tif
znz,0,znz_425403_14296.tif
dar,1,dar_0a4c40_03813.tif
dar,2,dar_a017f9_00462.tif
ptn,3,ptn_abe1a3_05601.tif
znz,4,znz_9b8638_14865.tif
kam,0,kam_4e7c7f_16162.tif
znz,1,znz_aee7fd_07320.tif
znz,2,znz_076995_11497.tif
dar,3,dar_42f235_01808.tif
znz,4,znz_076995_11871.tif
znz,0,znz_06f252_06468.tif
dar,1,dar_f883a0_02611.tif
znz,2,znz_3f8360_13179.tif
znz,3,znz_06f252_06103.tif
dar,4,dar_f883a0_03335.tif
znz,0,znz_e52478_13280.tif
dar,1,dar_0a4c40_03915.tif
znz,2,znz_3f8360_12789.tif
znz,3,znz_425403_14262.tif
znz,4,znz_9b8638_15109.tif
znz,0,znz_bd5c14_15602.tif
znz,1,znz_9b8638_14570.tif
dar,2,dar_353093_01068.tif
znz,3,znz_bd5c14_15950.tif
znz,4,znz_33cae6_10206.tif
dar,0,dar_0a4c40_04293.tif
acc,1,acc_d41d81_05305.tif
znz,2,znz_aee7fd_06947.tif
znz,3,znz_425403_14157.tif
znz,4,znz_076995_11624.tif
dar,0,dar_0a4c40_03598.tif
dar,1,dar_42f235_01774.tif
dar,2,dar_0a4c40_04379.tif
ptn,3,ptn_abe1a3_05546.tif
dar,4,dar_42f235_01446.tif
znz,0,znz_3f8360_13116.tif
mon,1,mon_f15272_05824.tif
znz,2,znz_425403_13636.tif
dar,3,dar_b15fce_00195.tif
znz,4,znz_e52478_13480.tif
znz,0,znz_425403_13787.tif
acc,1,acc_ca041a_04942.tif
znz,2,znz_33cae6_09886.tif
acc,3,acc_665946_04662.tif
znz,4,znz_06f252_06320.tif
dar,0,dar_42f235_01283.tif
znz,1,znz_06f252_06213.tif
znz,2,znz_076995_11732.tif
znz,3,znz_bc32f1_09570.tif
dar,4,dar_42f235_02014.tif
acc,0,acc_665946_04742.tif
dar,1,dar_f883a0_03021.tif
dar,2,dar_42f235_01884.tif
dar,3,dar_0a4c40_03956.tif
nia,4,nia_825a50_04434.tif
dar,0,dar_0a4c40_04077.tif
dar,1,dar_b15fce_00229.tif
znz,2,znz_bc32f1_08772.tif
znz,3,znz_06f252_06234.tif
znz,4,znz_076995_11289.tif
dar,0,dar_42f235_02151.tif
dar,1,dar_42f235_01499.tif
znz,2,znz_aee7fd_07291.tif
znz,3,znz_076995_11848.tif
znz,4,znz_33cae6_10147.tif
dar,0,dar_0a4c40_04208.tif
znz,1,znz_3b20d4_10634.tif
znz,2,znz_c7415c_12071.tif
znz,3,znz_33cae6_10005.tif
ptn,4,ptn_abe1a3_05566.tif
znz,0,znz_06f252_06457.tif
mon,1,mon_207cc7_05699.tif
znz,2,znz_9b8638_14727.tif
znz,3,znz_3b20d4_10399.tif
znz,4,znz_bd5c14_15807.tif
dar,0,dar_0a4c40_03575.tif
znz,1,znz_e52478_13481.tif
znz,2,znz_75cdfa_08026.tif
dar,3,dar_353093_00798.tif
znz,4,znz_9b8638_15061.tif
znz,0,znz_33cae6_09676.tif
znz,1,znz_076995_11644.tif
znz,2,znz_06f252_06312.tif
znz,3,znz_3b20d4_11061.tif
dar,4,dar_a017f9_00612.tif
mon,0,mon_207cc7_05793.tif
znz,1,znz_75cdfa_07959.tif
znz,2,znz_3f8360_12843.tif
znz,3,znz_e52478_13472.tif
znz,4,znz_aee7fd_07300.tif
acc,0,acc_d41d81_05389.tif
dar,1,dar_a017f9_00415.tif
znz,2,znz_75cdfa_08089.tif
znz,3,znz_3b20d4_10547.tif
znz,4,znz_bd5c14_15349.tif
dar,0,dar_0a4c40_03483.tif
znz,1,znz_3b20d4_10340.tif
znz,2,znz_076995_11421.tif
znz,3,znz_75cdfa_08571.tif
dar,4,dar_42f235_01115.tif
dar,0,dar_0a4c40_04256.tif
znz,1,znz_75cdfa_08490.tif
znz,2,znz_9b8638_14605.tif
znz,3,znz_bd5c14_15252.tif
dar,4,dar_353093_00741.tif
znz,0,znz_425403_13760.tif
znz,1,znz_75cdfa_08621.tif
znz,2,znz_bc32f1_08891.tif
znz,3,znz_9b8638_14978.tif
znz,4,znz_3b20d4_11068.tif
znz,0,znz_3f8360_12711.tif
znz,1,znz_06f252_06783.tif
dar,2,dar_f883a0_02787.tif
znz,3,znz_75cdfa_08433.tif
znz,4,znz_33cae6_10187.tif
dar,0,dar_42f235_02183.tif
dar,1,dar_f883a0_02981.tif
acc,2,acc_665946_04775.tif
dar,3,dar_f883a0_02479.tif
znz,4,znz_75cdfa_08012.tif
acc,0,acc_665946_04892.tif
znz,1,znz_c7415c_12464.tif
znz,2,znz_bc32f1_09124.tif
dar,3,dar_0a4c40_04018.tif
znz,4,znz_3f8360_12841.tif
znz,0,znz_076995_11319.tif
znz,1,znz_c7415c_12159.tif
znz,2,znz_076995_11611.tif
dar,3,dar_f883a0_03310.tif
znz,4,znz_3f8360_13063.tif
znz,0,znz_bc32f1_09411.tif
znz,1,znz_75cdfa_08676.tif
ptn,2,ptn_f49f31_05409.tif
znz,3,znz_c7415c_12469.tif
znz,4,znz_aee7fd_07475.tif
znz,0,znz_3f8360_12837.tif
znz,1,znz_bc32f1_08797.tif
znz,2,znz_076995_11756.tif
dar,3,dar_353093_00984.tif
acc,4,acc_ca041a_05056.tif
znz,0,znz_06f252_06257.tif
znz,1,znz_3b20d4_11211.tif
znz,2,znz_06f252_06487.tif
znz,3,znz_bc32f1_08798.tif
znz,4,znz_c7415c_12463.tif
znz,0,znz_aee7fd_07282.tif
znz,1,znz_076995_11926.tif
znz,2,znz_3b20d4_10392.tif
znz,3,znz_75cdfa_08004.tif
acc,4,acc_a42435_04628.tif
dar,0,dar_42f235_01234.tif
dar,1,dar_0a4c40_03816.tif
acc,2,acc_ca041a_05098.tif
znz,3,znz_c7415c_12547.tif
znz,4,znz_aee7fd_07540.tif
dar,0,dar_a017f9_00656.tif
znz,1,znz_076995_11688.tif
znz,2,znz_75cdfa_07921.tif
znz,3,znz_c7415c_12232.tif
dar,4,dar_b15fce_00370.tif
znz,0,znz_bc32f1_08975.tif
znz,1,znz_33cae6_10286.tif
dar,2,dar_f883a0_02927.tif
znz,3,znz_3b20d4_10855.tif
znz,4,znz_aee7fd_07341.tif
znz,0,znz_c7415c_12535.tif
dar,1,dar_f883a0_02496.tif
znz,2,znz_75cdfa_08339.tif
znz,3,znz_06f252_06119.tif
dar,4,dar_0a4c40_04253.tif
dar,0,dar_0a4c40_03660.tif
dar,1,dar_42f235_01163.tif
dar,2,dar_0a4c40_03681.tif
dar,3,dar_42f235_01715.tif
znz,4,znz_bc32f1_09009.tif
znz,0,znz_3f8360_12881.tif
ptn,1,ptn_abe1a3_05487.tif
dar,2,dar_f883a0_03122.tif
znz,3,znz_3b20d4_10754.tif
dar,4,dar_f883a0_03356.tif
dar,0,dar_f883a0_03155.tif
znz,1,znz_c7415c_12283.tif
znz,2,znz_33cae6_10225.tif
znz,3,znz_3b20d4_10705.tif
znz,4,znz_06f252_06811.tif
znz,0,znz_33cae6_10239.tif
znz,1,znz_bd5c14_15634.tif
znz,2,znz_3f8360_12643.tif
znz,3,znz_75cdfa_08091.tif
znz,4,znz_33cae6_10181.tif
znz,0,znz_bc32f1_08897.tif
znz,1,znz_bd5c14_15848.tif
znz,2,znz_aee7fd_07382.tif
dar,3,dar_a017f9_00430.tif
znz,4,znz_076995_11574.tif
znz,0,znz_aee7fd_07487.tif
znz,1,znz_bd5c14_15814.tif
dar,2,dar_42f235_02126.tif
znz,3,znz_75cdfa_08638.tif
znz,4,znz_9b8638_14921.tif
dar,0,dar_0a4c40_04271.tif
dar,1,dar_42f235_02212.tif
acc,2,acc_ca041a_05097.tif
znz,3,znz_425403_14189.tif
znz,4,znz_3b20d4_10485.tif
znz,0,znz_3b20d4_11171.tif
dar,1,dar_b15fce_00121.tif
dar,2,dar_f883a0_02861.tif
znz,3,znz_aee7fd_07095.tif
znz,4,znz_425403_13907.tif
dar,0,dar_f883a0_02896.tif
znz,1,znz_aee7fd_07421.tif
znz,2,znz_33cae6_09674.tif
dar,3,dar_0a4c40_04152.tif
znz,4,znz_aee7fd_07359.tif
znz,0,znz_bc32f1_09212.tif
znz,1,znz_aee7fd_07012.tif
znz,2,znz_bc32f1_09006.tif
znz,3,znz_06f252_06580.tif
znz,4,znz_06f252_06652.tif
znz,0,znz_425403_14050.tif
mon,1,mon_401175_05935.tif
dar,2,dar_0a4c40_04053.tif
znz,3,znz_aee7fd_07333.tif
znz,4,znz_75cdfa_07879.tif
znz,0,znz_3f8360_12654.tif
dar,1,dar_0a4c40_03878.tif
znz,2,znz_9b8638_14626.tif
znz,3,znz_bd5c14_16035.tif
dar,4,dar_0a4c40_03716.tif
dar,0,dar_0a4c40_04265.tif
znz,1,znz_bc32f1_08739.tif
znz,2,znz_bd5c14_15611.tif
znz,3,znz_425403_13732.tif
znz,4,znz_75cdfa_08682.tif
znz,0,znz_3f8360_13181.tif
dar,1,dar_f883a0_03004.tif
dar,2,dar_f883a0_02499.tif
dar,3,dar_a017f9_00532.tif
znz,4,znz_9b8638_15178.tif
znz,0,znz_06f252_06396.tif
znz,1,znz_3b20d4_10792.tif
znz,2,znz_bd5c14_15764.tif
znz,3,znz_06f252_06299.tif
znz,4,znz_c7415c_12530.tif
znz,0,znz_aee7fd_07036.tif
dar,1,dar_f883a0_02855.tif
znz,2,znz_bd5c14_15623.tif
znz,3,znz_bc32f1_09525.tif
znz,4,znz_bc32f1_09312.tif
znz,0,znz_3b20d4_11055.tif
znz,1,znz_076995_11270.tif
